seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
16000002,10109001,16,UT,555.5961,41.744375,-111.784387,COM F LOGAN R AB ST D AND LO HP AND SM C N LO UT
16000090,10234500,16,UT,236.4192,38.280526,-112.568271,BEAVER RIVER NEAR BEAVER UT
16000429,10343500,16,CA,27.6027,39.431572,-120.237979,SAGEHEN C NR TRUCKEE CA
16000873,10316500,16,NV,64.7784,40.690761,-115.477003,LAMOILLE C NR LAMOILLE NV
16000968,10329500,16,NV,454.5207,41.534618,-117.417905,MARTIN C NR PARADISE VALLEY NV
16001284,10242000,16,UT,208.6857,37.672199,-113.03467,"COAL CREEK NEAR CEDAR CITY, UT"
17000196,12358500,17,MT,2939.194,48.495244,-114.010119,Middle Fork Flathead River nr West Glacier MT
17000330,12414500,17,ID,2678.972,47.27464,-116.189049,ST JOE RIVER AT CALDER ID
17000507,12451000,17,WA,830.5974,48.32958,-120.691767,"STEHEKIN RIVER AT STEHEKIN, WA"
17000641,13011500,17,WY,404.0775,43.850278,-110.517778,PACIFIC CREEK AT MORAN WY
17000771,13083000,17,ID,133.1838,42.165833,-113.983611,TRAPPER CREEK NR OAKLEY ID
17001244,13185000,17,ID,2154.389,43.659444,-115.727222,BOISE RIVER NR TWIN SPRINGS ID
17001710,13313000,17,ID,561.9358,44.961667,-115.5,JOHNSON CREEK AT YELLOW PINE ID
17001781,13337000,17,ID,3053.417,46.150833,-115.587222,LOCHSA RIVER NR LOWELL ID
17001989,14020000,17,OR,341.4267,45.719577,-118.323291,"UMATILLA RIVER ABOVE MEACHAM CREEK, NR GIBBON OR"
17002289,14137000,17,OR,674.2395,45.399564,-122.137307,SANDY RIVER NEAR MARMOT OR
17002299,14141500,17,OR,59.8653,45.415398,-122.171475,LITTLE SANDY RIVER NEAR BULL RUN OR
17002398,14154500,17,OR,546.8105,43.735957,-122.873402,"ROW RIVER ABOVE PITCHER CREEK NEAR, DORENA OR"
17002428,14166500,17,OR,226.5246,44.049845,-123.42621,LONG TOM RIVER NEAR NOTI OR
17002470,14158500,17,OR,237.0771,44.360955,-121.995617,MCKENZIE RIVER AT OUTLET OF CLEAR LAKE OR
17002508,14182500,17,OR,286.8498,44.791511,-122.578974,LITTLE NORTH SANTIAM RIVER NEAR MEHAMA OR
17002523,14185000,17,OR,458.1774,44.391792,-122.497582,SOUTH SANTIAM RIVER BELOW CASCADIA OR
17002826,12020000,17,WA,294.2235,46.617324,-123.277644,CHEHALIS RIVER NEAR DOTY WA
17002830,12025000,17,WA,404.9037,46.620104,-122.945126,NEWAUKUM RIVER NEAR CHEHALIS WA
17002851,12035000,17,WA,769.8996,47.000651,-123.494884,SATSOP RIVER NEAR SATSOP WA
17002909,12010000,17,WA,142.182,46.373994,-123.743482,NASELLE RIVER NEAR NASELLE WA
17002983,14301000,17,OR,1743.544,45.703999,-123.755405,NEHALEM RIVER NEAR FOSS OR
17003011,14301500,17,OR,417.5676,45.47594,-123.725121,WILSON RIVER NEAR TILLAMOOK OR
17003046,14305500,17,OR,526.3299,44.715117,-123.887335,SILETZ RIVER AT SILETZ OR
17003092,14306500,17,OR,857.1636,44.385954,-123.831778,ALSEA RIVER NEAR TIDEWATER OR
